east_m,north_m,up_m
9.694244,2.2158275,0.35361242
9.496403,2.413669,0.37582442
9.298561,2.5719426,0.39418748
9.377698,2.8884892,0.40229216
9.179856,3.1654677,0.43197078
8.823741,3.0467627,0.46412164
8.546762,2.9280574,0.49070024
8.230215,2.8093524,0.5242503
7.953237,2.8884892,0.56791055
7.715827,2.6906476,0.58261573
7.3992805,2.6115108,0.6009697
7.122302,2.6906476,0.63647425
7.0035973,2.5719426,0.6816518
6.8848925,2.7697842,0.708038
6.687051,3.0071943,0.74043554
6.528777,3.2841728,0.8191206
6.3309355,3.4820144,0.8968422
6.172662,3.7589927,1.0096854
5.97482,3.9568343,1.1102129
5.8165464,4.1546764,1.2247192
5.6978416,4.431655,1.3238261
5.5,4.2338133,1.3949019
5.420863,4.0755396,1.453061
5.5395684,4.3129497,1.3629706
5.7769785,4.5503597,1.3539728
5.856115,4.866906,1.3877084
5.8165464,5.0647483,1.3529247
5.579137,5.143885,1.2391422
5.3021584,5.3021584,1.1817954
5.0647483,5.4604316,1.1286633
4.78777,5.658273,1.124654
4.6690645,5.9352517,1.1010431
4.589928,6.21223,1.0703366
4.431655,6.489209,1.0524212
4.2338133,6.766187,1.0323697
4.431655,6.845324,0.9787992
4.6294966,6.8848925,0.96991646
4.589928,7.0035973,0.9899252
4.6294966,7.3201437,1.0132927
4.5107913,7.3201437,1.0318186
4.5107913,7.4784174,1.063897
4.5503597,7.6366906,1.0678006
4.6294966,7.8741007,1.1047548
4.5107913,7.9928055,1.1075923
4.471223,8.190647,1.119858
4.708633,8.032373,1.1447065
4.946043,7.9136686,1.1634486
4.946043,8.071942,1.1952722
5.02518,8.151079,1.2289369
5.1043167,8.11151,1.2605633
5.02518,8.309353,1.1714499
4.946043,8.5071945,1.086404
4.78777,8.823741,1.0085071
4.589928,9.021583,0.95201653
4.708633,9.219424,0.8951969
4.708633,9.417266,0.8252311
4.471223,9.694244,0.78145015
4.431655,10.010791,0.7698905
4.3920865,10.248201,0.7794523
4.431655,10.564749,0.8440243
4.6690645,10.76259,0.8692009
4.6690645,11.079137,0.83810866
4.946043,11.039568,0.81805164
5.1043167,10.76259,0.75900304
5.341727,10.7230215,0.7289599
5.5,11.0,0.69664747
5.658273,10.920863,0.6388841
5.856115,10.881295,0.5819627
6.053957,10.920863,0.5458057
5.8956833,11.197842,0.52059305
6.053957,11.356115,0.49113193
6.172662,11.633093,0.4342301
5.97482,11.870503,0.3779225
6.053957,12.068346,0.32878032
6.172662,12.107914,0.30539328
6.4100714,12.107914,0.27066487
6.528777,12.345324,0.2574276
6.291367,12.464029,0.25911364
5.9352517,12.503597,0.2630726
5.7769785,12.582734,0.28007868
5.73741,12.859713,0.3265336
5.7769785,13.176259,0.36584082
5.73741,13.4928055,0.30746943
5.73741,13.651079,0.34366032
5.5395684,13.809352,0.4287948
5.4604316,14.086331,0.45771885
5.341727,14.402878,0.5396243
5.1834536,14.640287,0.6068762
4.9856114,14.877698,0.68400425
4.866906,15.194244,0.7351853
4.7482014,15.471224,0.7823266
4.946043,15.55036,0.7219399
5.1834536,15.510791,0.62771
5.341727,15.55036,0.5625308
5.5,15.708633,0.5130908
5.658273,15.431654,0.4731822
5.658273,15.115108,0.44716668
5.658273,14.798561,0.4197177
5.658273,14.442446,0.3904064
5.73741,14.125898,0.35550088
5.8165464,13.809352,0.33337313
5.6978416,13.532374,0.3165843
5.579137,13.255396,0.3483107
5.6978416,12.978418,0.35598078
5.8165464,12.701439,0.3061602
5.7769785,12.503597,0.27149254
6.0935254,12.622302,0.25910848
6.4496408,12.582734,0.25289857
