east_m,north_m,up_m
3.0366197,3.9830985,0.24549899
3.1549296,3.8647888,0.24443343
3.2338028,3.943662,0.24137545
3.1549296,4.1802816,0.244966
2.9577465,4.259155,0.2728445
2.8788733,4.259155,0.30597728
2.997183,4.377465,0.34728304
3.115493,4.574648,0.3690626
3.1943662,4.8112674,0.39639664
3.2732396,5.0084505,0.41548786
3.3521125,5.2450705,0.44016224
3.509859,5.205634,0.4552157
3.7070422,5.3239436,0.45904055
3.7859154,5.560563,0.45759645
3.8253522,5.797183,0.45598897
3.6281688,5.915493,0.4542799
3.746479,6.033803,0.46093187
3.943662,5.994366,0.45871305
4.1408453,5.876056,0.44736952
4.3380284,5.797183,0.43280354
4.535211,5.797183,0.41239628
4.574648,5.560563,0.40513688
4.653521,5.3633804,0.39401442
4.692958,5.1267605,0.39048907
4.732394,4.890141,0.37767828
4.8112674,4.692958,0.36827332
4.969014,4.535211,0.34678432
5.0873237,4.4957743,0.34070966
5.2450705,4.653521,0.37872422
5.4422536,4.574648,0.4184897
5.6,4.4169016,0.44037738
5.8366194,4.456338,0.45009628
5.994366,4.574648,0.44973332
6.1915493,4.574648,0.45636082
6.4281693,4.574648,0.45112044
6.6253524,4.535211,0.44161782
6.7436624,4.692958,0.43973464
6.822535,4.929578,0.43421292
6.980282,4.929578,0.4411686
7.0591555,4.771831,0.44961032
7.138028,4.6140847,0.44037333
7.295775,4.535211,0.4257117
7.492958,4.535211,0.42618006
7.6901407,4.456338,0.43589655
7.887324,4.456338,0.43971473
8.084507,4.456338,0.43416175
8.242254,4.2985916,0.437851
8.281691,4.1014085,0.43736124
8.439436,4.1014085,0.4568531
8.557746,3.943662,0.45858282
8.676057,3.7070422,0.4420027
8.676057,3.509859,0.41956162
8.478873,3.3915493,0.43391213
8.439436,3.2338028,0.40797013
8.63662,3.2338028,0.35778588
8.794367,3.3126762,0.38505298
8.715493,3.115493,0.32940313
8.597183,2.9183097,0.30465367
8.597183,2.8394365,0.3042066
8.478873,2.7605634,0.3056917
8.321127,2.7211268,0.31484103
8.123943,2.6422534,0.33031163
7.9267607,2.7211268,0.30497622
7.8478875,2.7605634,0.3051292
7.808451,2.7605634,0.31157863
7.5718307,2.7605634,0.3135988
7.453521,2.602817,0.32141143
7.3746476,2.5239437,0.31790912
7.2563376,2.3267605,0.31496722
7.2169013,2.0901408,0.30870083
6.980282,2.0112677,0.3067354
6.9408445,1.8535211,0.2970659
6.7436624,1.774648,0.35686928
6.546479,1.6563381,0.40536255
6.3492956,1.774648,0.41392094
6.1521125,1.8535211,0.42053366
5.915493,1.8929577,0.40401906
5.71831,1.8140844,0.4017945
5.5211267,1.6563381,0.41083995
5.3239436,1.5774648,0.41771168
5.1267605,1.4591548,0.4378596
4.929578,1.3408451,0.44727868
4.732394,1.3408451,0.4321355
4.574648,1.4197183,0.4339698
4.456338,1.6169014,0.44152188
4.535211,1.8140844,0.43550926
4.377465,1.971831,0.4655694
4.1802816,2.1295774,0.47421393
4.3380284,2.2478871,0.46728858
4.377465,2.4450705,0.4455584
4.2985916,2.6422534,0.438267
4.219718,2.8788733,0.44485646
4.1408453,3.0760562,0.43753022
3.9042256,3.0366197,0.4400967
3.7070422,2.997183,0.4376225
3.509859,2.997183,0.40708345
3.4704223,2.7605634,0.39948177
3.3915493,2.5633802,0.34554988
3.2732396,2.6816902,0.3104823
3.2732396,2.5633802,0.3238776
3.1943662,2.8,0.29585743
3.1943662,2.997183,0.27314857
3.115493,3.1549296,0.2659619
3.1943662,3.3915493,0.2516665
3.1549296,3.5887325,0.26021928
3.115493,3.8253522,0.26389116
3.0366197,3.9830985,0.24549899
