east_m,north_m,up_m
0.59322035,7.5932207,0.3480628
0.63276833,7.553672,0.36212856
0.63276833,7.4745765,0.36186016
0.63276833,7.435028,0.36157024
0.63276833,7.3559318,0.36101913
0.6723164,7.3163843,0.36856607
0.6723164,7.3559318,0.369362
0.7118644,7.435028,0.3827986
0.7118644,7.4745765,0.38333246
0.7118644,7.5141244,0.38347524
0.7118644,7.5932207,0.38284373
0.79096043,7.5932207,0.43247595
0.83050853,7.553672,0.45291582
0.8700565,7.5141244,0.4740056
0.8700565,7.4745765,0.47455597
0.9491526,7.435028,0.49957412
0.98870057,7.39548,0.5094874
1.0282485,7.39548,0.5215356
1.0282485,7.435028,0.5227033
1.0282485,7.5141244,0.5320657
1.0282485,7.553672,0.5390318
1.0282485,7.632768,0.5511683
1.0282485,7.6723166,0.55489886
1.0677966,7.632768,0.56940067
1.1073446,7.5932207,0.58412755
1.1468927,7.553672,0.5912463
1.1864407,7.5141244,0.5949461
1.2259886,7.4745765,0.607238
1.2655367,7.435028,0.62688243
1.2655367,7.3559318,0.62887096
1.2655367,7.3163843,0.62869734
1.3050847,7.2768364,0.6493269
1.3050847,7.237288,0.63728845
1.3841808,7.19774,0.6536449
1.4237288,7.19774,0.6637384
1.5028249,7.19774,0.6828536
1.542373,7.19774,0.6920025
1.5819209,7.19774,0.6993338
1.6610171,7.19774,0.7081987
1.700565,7.19774,0.7101644
1.7796609,7.19774,0.7169138
1.740113,7.237288,0.73859304
1.700565,7.237288,0.73704845
1.6610171,7.2768364,0.75687134
1.5819209,7.3163843,0.7631946
1.542373,7.3559318,0.7717241
1.5028249,7.39548,0.7668531
1.5819209,7.39548,0.78788924
1.6214689,7.39548,0.79640025
1.6610171,7.39548,0.8051221
1.700565,7.435028,0.81882477
1.700565,7.4745765,0.8159882
1.740113,7.435028,0.8300878
1.7796609,7.39548,0.8332566
1.7796609,7.4745765,0.847655
1.7796609,7.5141244,0.84650123
1.8192091,7.4745765,0.86648005
1.858757,7.4745765,0.88668126
1.9378531,7.435028,0.9042245
1.9774011,7.39548,0.89561236
2.0169492,7.39548,0.9096571
2.056497,7.3559318,0.8967608
2.1355932,7.3559318,0.9351309
2.1751413,7.3559318,0.94800675
2.2542374,7.3559318,0.95574456
2.2937853,7.3559318,0.95769775
2.3333335,7.3559318,0.9667136
2.2937853,7.39548,0.98387754
2.3333335,7.435028,1.0111374
2.3728814,7.4745765,1.0258287
2.4124293,7.5141244,1.0383897
2.4519773,7.4745765,1.0333896
2.5310733,7.4745765,1.0476869
2.5310733,7.5141244,1.0558779
2.5706215,7.5141244,1.0672106
2.6101694,7.4745765,1.0714345
2.6892655,7.4745765,1.0953847
2.7288136,7.4745765,1.1038249
2.8079095,7.5141244,1.1125231
2.8474576,7.5141244,1.1046933
2.8870056,7.553672,1.1383582
2.9661016,7.553672,1.1489396
3.0056498,7.553672,1.16195
3.0451977,7.553672,1.1705203
3.1242938,7.553672,1.1588638
3.1638417,7.5932207,1.1777233
3.2429378,7.632768,1.1715271
3.3220341,7.632768,1.1844459
3.3615818,7.5932207,1.2026944
3.40113,7.632768,1.2283832
3.4406781,7.5932207,1.2480965
3.480226,7.553672,1.273699
3.519774,7.632768,1.3002794
3.5593219,7.632768,1.325476
3.59887,7.5932207,1.346684
3.59887,7.553672,1.3448758
3.6779659,7.553672,1.3936756
3.717514,7.5141244,1.4207954
3.7570622,7.5141244,1.4453356
3.717514,7.435028,1.4440287
3.7570622,7.39548,1.4703193
3.8361583,7.435028,1.5004995
3.8757062,7.435028,1.5179496
3.915254,7.4745765,1.5422424
3.9943504,7.435028,1.5600324
4.0338984,7.435028,1.5776904
4.0734463,7.39548,1.569924
4.1525426,7.39548,1.5912644
4.19209,7.39548,1.6015896
4.2711864,7.39548,1.6233492
4.3107347,7.435028,1.640126
4.3502827,7.4745765,1.657798
4.3898306,7.5141244,1.6742245
4.4293785,7.5141244,1.6781585
4.508475,7.553672,1.7024539
4.5480223,7.553672,1.7093222
4.5875707,7.5932207,1.7316164
4.6271186,7.5932207,1.7424469
4.7062144,7.5932207,1.7703927
4.745763,7.5932207,1.7859819
4.7853107,7.5932207,1.800683
4.864407,7.5932207,1.8275856
4.9039545,7.5932207,1.8403229
4.943503,7.632768,1.8640543
4.983051,7.6723166,1.8902352
5.0621467,7.7118645,1.9234686
5.101695,7.7118645,1.9326203
5.141243,7.7514124,1.9558017
5.180791,7.790961,1.979006
5.2598867,7.790961,2.0072134
5.299435,7.790961,2.025447
5.338983,7.830508,2.0505674
5.378531,7.870056,2.0765884
5.418079,7.830508,2.0882688
5.497175,7.830508,2.12876
5.536723,7.830508,2.1494493
5.576271,7.870056,2.1739767
5.615819,7.870056,2.1943033
5.6949153,7.870056,2.2338033
5.734463,7.9096045,2.2569666
5.774011,7.9096045,2.2738204
5.8135595,7.9491525,2.2945051
5.8926554,7.9096045,2.3228755
5.9322033,7.9096045,2.338635
5.971751,7.9096045,2.352346
6.0508475,7.9096045,2.370682
6.0508475,7.988701,2.385164
6.0508475,8.028249,2.3975606
6.0112996,8.067797,2.4031336
6.0112996,8.146893,2.4457026
6.0112996,8.186441,2.4788852
6.0112996,8.225988,2.5181124
5.971751,8.265536,2.5504453
5.971751,8.305085,2.5736492
6.0508475,8.305085,2.5974987
6.0508475,8.344633,2.6346545
6.0508475,8.38418,2.6623049
6.0508475,8.423729,2.6543922
6.0903955,8.423729,2.6711688
