east_m,north_m,up_m
2.1538463,7.7777777,0.7049422
2.1937323,7.737891,0.7028752
2.2336183,7.65812,0.70754755
2.2735043,7.6182337,0.7125994
2.2735043,7.6980057,0.7138229
2.3532765,7.737891,0.7370725
2.3931623,7.6980057,0.7525208
2.4729345,7.65812,0.7644389
2.5128205,7.6182337,0.7587737
2.5925927,7.6182337,0.76623595
2.6723647,7.538461,0.7536751
2.7521367,7.5783477,0.7655341
2.8319087,7.538461,0.75695586
2.911681,7.538461,0.7660412
2.991453,7.538461,0.7750534
3.0712252,7.4985757,0.7843752
3.1111112,7.458689,0.7908143
3.1908832,7.418803,0.80544984
3.2307694,7.339031,0.81353617
3.3105412,7.339031,0.81808007
3.3504272,7.259259,0.8301876
3.4301994,7.219373,0.8397134
3.4700856,7.139601,0.85449713
3.5498576,7.099715,0.8653431
3.6296296,7.099715,0.8731697
3.7094016,7.0598288,0.8888403
3.7891738,7.0598288,0.8980349
3.8689456,7.099715,0.9105193
3.9487178,7.139601,0.9256978
4.02849,7.1794868,0.9438316
4.068376,7.219373,0.9584858
4.148148,7.259259,0.97107315
4.22792,7.219373,0.97781533
4.3076925,7.219373,0.99664277
4.3874645,7.1794868,1.006128
4.4672365,7.1794868,1.0242584
4.5071225,7.219373,1.0380394
4.5470085,7.2991457,1.0585358
4.5868945,7.259259,1.0644186
4.6267805,7.1794868,1.0741403
4.706553,7.099715,1.1047744
4.7464385,7.1794868,1.129049
4.7863245,7.099715,1.1454129
4.945869,7.019943,1.2129728
5.025641,6.980057,1.2308823
5.065527,7.019943,1.2584747
5.145299,6.980057,1.2764395
5.2250714,6.9401712,1.2936628
5.2649574,6.900285,1.3017583
5.3447294,6.8205132,1.3220284
5.4245014,6.8205132,1.3525017
5.4643874,6.780627,1.3714654
5.54416,6.780627,1.4058745
5.6239314,6.780627,1.4406114
5.703704,6.780627,1.4686978
5.783476,6.780627,1.4917487
5.863248,6.8205132,1.5141302
5.94302,6.780627,1.5242848
6.022792,6.780627,1.5288322
6.0626783,6.860399,1.531821
6.1424503,6.900285,1.5260534
6.2222223,6.900285,1.5286093
6.2621083,6.860399,1.5266315
6.3418803,6.780627,1.5247134
6.4216523,6.8205132,1.5467545
6.5014243,6.780627,1.5470006
6.541311,6.7008543,1.5497534
6.6210823,6.660969,1.5651402
6.660969,6.6210823,1.5699556
6.740741,6.581197,1.5732973
6.8205132,6.6210823,1.5881579
6.900285,6.660969,1.5820999
6.9401712,6.740741,1.5783235
6.980057,6.660969,1.584741
7.019943,6.581197,1.5916871
7.019943,6.5014243,1.5905793
6.980057,6.4216523,1.5839015
6.980057,6.3418803,1.59176
6.980057,6.2621083,1.5943902
7.019943,6.182336,1.5962468
7.0598288,6.1025643,1.5911582
7.099715,6.0626783,1.5893481
7.1794868,6.022792,1.5875825
7.259259,6.022792,1.5859406
7.339031,5.982906,1.571861
7.3789177,5.903134,1.5829974
7.418803,5.823362,1.6037481
7.418803,5.74359,1.6113265
7.458689,5.6638174,1.6313188
7.4985757,5.6239314,1.643042
7.5783477,5.54416,1.6474253
7.6182337,5.5042734,1.6431646
7.65812,5.4245014,1.6362286
7.6980057,5.3846154,1.6333205
7.737891,5.304843,1.6443608
7.8176637,5.2649574,1.6301539
7.85755,5.1851854,1.638416
7.8974357,5.145299,1.637112
7.977208,5.105413,1.6400446
8.05698,5.105413,1.6456804
8.136752,5.065527,1.6515077
8.216524,5.025641,1.6586405
8.256411,4.985755,1.6699219
8.296296,4.905983,1.6999441
8.336183,4.826211,1.7080038
8.376068,4.7863245,1.7142289
8.45584,4.7863245,1.7208322
8.535612,4.706553,1.7378155
8.575499,4.666667,1.7487624
8.615385,4.6267805,1.7621142
8.655271,4.5470085,1.7970402
8.695157,4.4672365,1.8262424
8.695157,4.4273505,1.8378452
8.695157,4.3475785,1.8564075
8.735043,4.267806,1.8892323
8.774929,4.3076925,1.8990961
8.814815,4.267806,1.9028625
8.894587,4.188034,1.9273497
