east_m,north_m,up_m
7.219373,7.8176637,0.26531774
7.139601,7.937322,0.31578898
6.980057,8.05698,0.33812243
6.900285,8.176638,0.3473298
6.8205132,8.336183,0.3588909
6.7008543,8.45584,0.36452594
6.7008543,8.615385,0.40493283
6.8205132,8.735043,0.44615334
6.9401712,8.814815,0.46529323
7.099715,8.814815,0.51225585
7.2991457,8.854701,0.5644594
7.418803,8.894587,0.60808414
7.538461,8.814815,0.6625146
7.65812,8.695157,0.7106262
7.737891,8.575499,0.7193218
7.8974357,8.535612,0.75487435
8.05698,8.575499,0.7959756
8.216524,8.575499,0.8161047
8.336183,8.495727,0.8217932
8.495727,8.495727,0.844265
8.655271,8.575499,0.8713733
8.814815,8.615385,0.89549875
8.9743595,8.655271,0.91944873
9.1339035,8.655271,0.92612934
9.253561,8.615385,0.93723565
9.413106,8.535612,0.9661228
9.572649,8.495727,1.0039432
9.732194,8.45584,1.0822176
9.851851,8.415955,1.1367357
9.891738,8.256411,1.1915634
9.891738,8.096866,1.2388418
9.811966,7.937322,1.256194
9.851851,7.7777777,1.2915608
9.811966,7.6182337,1.3254654
9.891738,7.4985757,1.3776505
10.011396,7.418803,1.4223671
10.17094,7.339031,1.4659108
10.330484,7.2991457,1.5192436
10.450143,7.1794868,1.5509636
10.529915,7.0598288,1.5641959
10.609686,6.900285,1.5736948
10.649572,6.740741,1.6014026
10.689459,6.581197,1.6180878
10.769231,6.461539,1.6177953
10.849003,6.3019943,1.6373641
10.809117,6.1424503,1.6241573
10.928775,6.1025643,1.62393
11.128205,6.1025643,1.6155593
11.247863,6.182336,1.6308348
11.407408,6.2222223,1.624304
11.527065,6.3418803,1.6470156
11.686609,6.4216523,1.6503735
11.806268,6.541311,1.6579739
11.88604,6.660969,1.6759316
12.045584,6.780627,1.6829755
12.165242,6.860399,1.6811049
12.284901,6.980057,1.688249
12.324786,7.139601,1.6966308
12.205129,7.219373,1.683747
12.125357,7.3789177,1.6823969
12.005697,7.458689,1.66458
11.965812,7.6182337,1.648166
11.965812,7.7777777,1.6106966
11.925926,7.977208,1.5830517
11.88604,8.096866,1.5704559
11.88604,8.256411,1.5521973
11.806268,8.415955,1.5157511
11.806268,8.575499,1.4711205
11.726496,8.695157,1.4196905
11.766382,8.894587,1.3810984
11.806268,9.014245,1.3656088
11.925926,9.1339035,1.3533709
11.965812,9.2934475,1.3319077
12.045584,9.4529915,1.317195
12.08547,9.612535,1.2984154
11.965812,9.732194,1.2710619
11.846154,9.692308,1.2618003
11.686609,9.652422,1.2484024
11.527065,9.612535,1.2357172
11.367521,9.5327635,1.2155054
11.207977,9.492877,1.1912078
11.08832,9.572649,1.1525508
10.888888,9.572649,1.1280539
10.729345,9.572649,1.110985
10.609686,9.492877,1.1023755
10.450143,9.4529915,1.0874487
10.290598,9.5327635,1.059134
10.17094,9.652422,1.0212383
10.011396,9.652422,0.99561214
10.011396,9.811966,0.9550618
9.97151,9.97151,0.9116422
9.891738,10.091168,0.8629652
9.851851,10.250712,0.81891423
9.811966,10.410256,0.78686726
9.652422,10.490028,0.75626355
9.5327635,10.529915,0.72891927
9.3732195,10.529915,0.6951094
9.213675,10.609686,0.66108364
9.014245,10.5698,0.63835347
8.854701,10.490028,0.62228703
8.695157,10.529915,0.5812742
8.575499,10.450143,0.55463016
8.415955,10.370371,0.5159442
8.336183,10.210826,0.4860851
8.216524,10.17094,0.46938094
8.096866,10.051282,0.47417793
7.937322,9.97151,0.4710062
7.8176637,9.851851,0.45199752
7.6980057,9.732194,0.43907386
7.538461,9.652422,0.43704516
7.418803,9.572649,0.44131175
7.2991457,9.4529915,0.42029294
7.1794868,9.333334,0.40567812
7.099715,9.213675,0.37121844
6.9401712,9.1339035,0.3719728
6.780627,9.0541315,0.35801968
6.660969,9.014245,0.35486403
6.5014243,8.934473,0.33786768
6.3418803,8.894587,0.33575076
6.2222223,8.774929,0.3052767
6.182336,8.615385,0.29129428
6.182336,8.45584,0.29019105
6.3418803,8.336183,0.2722748
6.461539,8.216524,0.26643044
6.5014243,8.05698,0.26222676
6.4216523,7.8974357,0.2509795
6.581197,7.85755,0.25281453
6.660969,7.6980057,0.25223237
6.8205132,7.65812,0.24473289
6.980057,7.737891,0.24917293
7.139601,7.737891,0.24314752
7.2991457,7.6980057,0.24401923
7.4985757,7.6980057,0.25362748
7.65812,7.737891,0.2594774
7.219373,7.8176637,0.26531774
